ECCode,ECName,ShowInES,IsUnit,UnitTypename,ECTypename,ExpMarkupTypename,Markup,UnitRate,BillStatusname,DirectBaseCode,DirectBasename,OHBaseCode,OHBasename,BilledDirectBaseCode,BilledDirectBasename,BilledMarkupBaseCode,BilledMarkupBasename,UnBilledBaseCode,UnBilledBasename,CurrencyCode,PMCmtRequired,IntCmtRequired,IsNonReim,_IsActive,_QBO_Type
MN-EXP-00068,Completed Design Development,TRUE,FALSE,,,,,,,,,,,Ask My Accountant,,,,,,,,,,TRUE,Service
MN-EXP-00069,Completed Pre-Design,TRUE,FALSE,,,,,,,,,,,Ask My Accountant,,,,,,,,,,TRUE,Service
MN-EXP-00070,Completed Schematic Phase,TRUE,FALSE,,,,,,,,,,,Ask My Accountant,,,,,,,,,,TRUE,Service
MN-EXP-00071,Completed Supplemental Services,TRUE,FALSE,,,,,,,,,,,Ask My Accountant,,,,,,,,,,TRUE,Service
MN-EXP-00072,Fin Chg,TRUE,FALSE,,,,,0.12,,,,,,Finance Charges,,,,,,,,,,TRUE,Service
MN-EXP-00073,M0 Marketing General,TRUE,FALSE,,,,,,,M0 Marketing General,,,,M0 Marketing General,,,,,,,,,,TRUE,Service
MN-EXP-00074,M010 Principal,TRUE,FALSE,,,,,195,,M010 Principal,,,,M0 Marketing General,,,,,,,,,,TRUE,Service
MN-EXP-00075,M020 Project Manager,TRUE,FALSE,,,,,165,,M020 Project Manager,,,,M0 Marketing General,,,,,,,,,,TRUE,Service
MN-EXP-00076,M030 Project Coordinator,TRUE,FALSE,,,,,125,,M030 Project Coordinator,,,,M0 Marketing General,,,,,,,,,,TRUE,Service
MN-EXP-00077,M040 Intern,TRUE,FALSE,,,,,50,,M040 Intern,,,,M0 Marketing General,,,,,,,,,,TRUE,Service
MN-EXP-00078,M110 Principal,TRUE,FALSE,,,,,195,,M110 Principal,,,,M1 Marketing Predesign,,,,,,,,,,TRUE,Service
MN-EXP-00079,M120 Project Manager,TRUE,FALSE,,,,,165,,M120 Project Manager,,,,M1 Marketing Predesign,,,,,,,,,,TRUE,Service
MN-EXP-00080,M130 Project Coordinator,TRUE,FALSE,,,,,125,,M130 Project Coordinator,,,,M1 Marketing Predesign,,,,,,,,,,TRUE,Service
MN-EXP-00081,M140 Intern,TRUE,FALSE,,,,,50,,M140 Intern,,,,M1 Marketing Predesign,,,,,,,,,,TRUE,Service
MN-EXP-00082,NO NOT USE,TRUE,FALSE,,,,,,,Billable Time,,,,Billed fee revenue,,,,,,,,,,TRUE,Service
MN-EXP-00083,Plumbing Consultant,TRUE,FALSE,,,,,,,Plumbing Consultant,,,,Reimbursed Expenses - Income,,,,,,,,,,TRUE,Service
MN-EXP-00084,PmntDiscount_Bad Debt Expenses,TRUE,FALSE,,,,,,,Bad Debt Expenses,,,,Reimbursed Expenses - Income,,,,,,,,,,TRUE,Service
MN-EXP-00085,PmntDiscount_Bank Charges,TRUE,FALSE,,,,,,,Bank Charges,,,,Reimbursed Expenses - Income,,,,,,,,,,TRUE,Service
MN-EXP-00086,PmntDiscount_Miscellaneous Expenses,TRUE,FALSE,,,,,,,Miscellaneous Expenses,,,,Reimbursed Expenses - Income,,,,,,,,,,TRUE,Service
MN-EXP-00087,PmntDiscount_Permits/Licenses,TRUE,FALSE,,,,,,,Permits/Licenses,,,,Plan Approval Fees,,,,,,,,,,TRUE,Service
MN-EXP-00088,PmntDiscount_Postage,TRUE,FALSE,,,,,,,Postage & Delivery,,,,Postage & Delivery,,,,,,,,,,TRUE,Service
