BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBO_AccountType,_QBO_SubType
976,Donations,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
382,Draw - DM,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
386,Draw - EAR,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
385,Draw - NSS,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
136,Due from ACI,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
129,Due from ID Studio 4,Tracks reimbursable expenses owed by ID Studio 4,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
130,Due from Partner Holdings,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
138,Due from Reztark,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
131,Due from Third Parties,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
246,Due to Clients,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
245,Due to Employees,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
248,Due to ID Studio 4,Represents expenses paid by ID Studio on behalf of SRA,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
217,Due to Reiners,,TRUE,,,Liability,,,,,,,Long Term Liability,OtherLongTermLiabilities
218,Due to Sellers - ERC refund,,TRUE,,,Liability,,,,,,,Long Term Liability,OtherLongTermLiabilities
215,Due to Shareholders,,TRUE,,,Liability,,,,,,,Long Term Liability,OtherLongTermLiabilities
216,Due to Sperides,,TRUE,,,Liability,,,,,,,Long Term Liability,OtherLongTermLiabilities
146,"Furniture, Fixtures, Etc.",Furniture and equipment with useful life exceeding one year,TRUE,,,Asset,,,,,,,Fixed Asset,OtherFixedAssets
970,Fusion AE Expenses,Fusion AE Restructuring Expense,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
135,Gift Cards,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
180,Goodwill,,TRUE,,,Asset,,,,,,,Other Asset,Goodwill
963,Guaranteed Payments - E.R,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
961,Guaranteed Payments - N.S,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
