BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBO_AccountType,_QBO_SubType
990.36,A260 Architect/Interior,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.40,A3 Design Development,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.41,A310 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.42,A320 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.43,A330 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.44,A340 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.45,A350 Administration,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.46,A360 Architect/Interior,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.50,A4 Construction Document,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.51,A410 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.52,A420 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.53,A430 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.54,A440 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.56,A460 Architect/Designer,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.57,A470 Specifications/QA,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.60,A5 Bid/Negotiate,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.61,A510 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.62,A520 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.63,A530 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.64,A540 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.66,A560 Architect/Designer,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.70,A6 Construction Administration,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.71,A610 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.72,A620 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.73,A630 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.74,A640 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.75,A650 Administration,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.76,A660 Architect/Designer,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.80,A7 Supplemental Services,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.81,A710 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.82,A720 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.83,A730 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.84,A740 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
